SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE,price_per_sq_ft
Past Sale,Condo/Coop,925 Judah St,San Francisco,CA,94122,775000,2,1,Inner Sunset,1313,,1932,1,,,Sold,,,,,775000,2016-04-22,781000,http://www.redfin.com/CA/San-Francisco/925-Judah-St-94122/home/104124310,San Francisco Association of Realtors (SFARMLS),440563,"West & Praszker, REALTORS®",N,Y,37.761643,-122.472028,false,595
Past Sale,Single Family Residential,41 Ford St,San Francisco,CA,94114,4995000,4,4.5,Eureka Valley/Dolore,4682,2848,1936,2,Garage,,Sold,,,,,4995000,2016-06-07,4775000,http://www.redfin.com/CA/San-Francisco/41-Ford-St-94114/home/1694647,San Francisco Association of Realtors (SFARMLS),443331,Pacific Union International Inc.,N,Y,37.761653,-122.431588,false,1020
Past Sale,Single Family Residential,4475 17th St,San Francisco,CA,94114,1475000,2,1,Corona Heights,1360,2500,1951,1,Garage,,Sold,,,,,1475000,2016-06-13,1550000,http://www.redfin.com/CA/San-Francisco/4475-17th-St-94114/home/1884273,San Francisco Association of Realtors (SFARMLS),445490,Coldwell Banker,N,Y,37.761684,-122.444773,false,1140
Past Sale,Single Family Residential,1425 11th Ave,San Francisco,CA,94122,1495000,4,3,Inner Sunset,1945,2996,1908,1,Garage,,Sold,,,,,1495000,2016-04-19,1850000,http://www.redfin.com/CA/San-Francisco/1425-11th-Ave-94122/home/1904554,San Francisco Association of Realtors (SFARMLS),442532,Barbagelata Real Estate,N,Y,37.761596,-122.4685628,false,951
Past Sale,Single Family Residential,1420 11th Ave,San Francisco,CA,94122,1380000,3,2.5,Inner Sunset,,2278,1914,2,Garage,,Sold,,,,,1380000,2016-04-19,1685000,http://www.redfin.com/CA/San-Francisco/1420-11th-Ave-94122/home/1826993,San Francisco Association of Realtors (SFARMLS),443199,Barbagelata Real Estate,N,Y,37.7616377,-122.4681371,false,
Past Sale,Single Family Residential,630 Rhode Island St,San Francisco,CA,94107,1995000,2,2,Potrero Hill,1890,2500,1935,1,Garage,,Sold,,,,2016-03-22,2495000,2016-04-29,2200000,http://www.redfin.com/CA/San-Francisco/630-Rhode-Island-St-94107/home/1759226,San Francisco Association of Realtors (SFARMLS),442129,Coldwell Banker Res. R.E. Svcs,N,Y,37.761744,-122.402593,false,1164
Past Sale,Multi-Family (2-4 Unit),638 Rhode Island St,SAN FRANCISCO,CA,94107,1299000,5,,SAN FRANCISCO,2663,2495,1911,0,,,Sold,,,,2016-04-07,1400000,2016-06-14,1250000,http://www.redfin.com/CA/San-Francisco/638-Rhode-Island-St-94107/unit-2E/home/731039,MLSListings Inc. (MLSLI),ML81566159,Century 21 Alliance Fine Homes and Estates,N,Y,37.7616749,-122.402586,false,469
Past Sale,Condo/Coop,978 Clayton St,San Francisco,CA,94117,,2,1,94117,1585,,1924,,,,,,,,,,2015-12-01,1800000,http://www.redfin.com/CA/San-Francisco/978-Clayton-St-94117/home/600471,,,,N,Y,37.7641973,-122.4470443,,1136
Past Sale,Condo/Coop,1015 Ashbury St #2,San Francisco,CA,94117,1095000,2,2,Buena Vista Park,1252,,1913,2,,,Sold,,,,,1095000,2016-02-05,1350000,http://www.redfin.com/CA/San-Francisco/1015-Ashbury-St-94117/unit-2/home/12277469,San Francisco Association of Realtors (SFARMLS),441276,Zephyr Real Estate,N,Y,37.7642905,-122.4462337,false,1078
Past Sale,Single Family Residential,1246 25th Ave,San Francisco,CA,94122,,2,2,94122,1760,,1940,,,,,,,,,,2016-03-10,1160000,http://www.redfin.com/CA/San-Francisco/1246-25th-Ave-94122/home/1444928,,,,N,Y,37.76426,-122.483293,,659
Past Sale,Condo/Coop,1056 Cole St,San Francisco,CA,94117,1095000,3,1,Parnassus/Ashbury Heights,1350,,1909,0,,,Sold,,,,,1095000,2016-03-10,1310000,http://www.redfin.com/CA/San-Francisco/1056-Cole-St-94117/home/1320803,San Francisco Association of Realtors (SFARMLS),440734,Paragon Real Estate Group,N,Y,37.764257,-122.449351,false,970
Past Sale,Multi-Family (2-4 Unit),1276-1278 12th Ave,San Francisco,CA,94122,960000,,,Inner Sunset,2115,3000,1900,0,,,Sold,,,,,960000,2016-04-29,960000,http://www.redfin.com/CA/San-Francisco/1276-12th-Ave-94122/home/1182257,San Francisco Association of Realtors (SFARMLS),445121,Paragon Real Estate Group,N,Y,37.764331,-122.469223,false,454
Past Sale,Multi-Family (2-4 Unit),1268 17th Ave,San Francisco,CA,94122,,,2,94122,1778,,1907,,,,,,,,,,2016-05-20,300000,http://www.redfin.com/CA/San-Francisco/1268-17th-Ave-94122/home/628239,,,,N,Y,37.764161,-122.474691,,169
Past Sale,Condo/Coop,25 Sierra St Unit W104,San Francisco,CA,94107,1649000,3,3,Potrero Hill,3438,,2006,2,,,Sold,,,,,1649000,2016-01-14,1625000,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-W104/home/101647585,San Francisco Association of Realtors (SFARMLS),437825,Coldwell Banker Previews Int'l,N,Y,37.757917,-122.395476,false,473
